Strategy,MeanRewards
Hybrid4',37
Hybrid4',47.2
Hybrid4',60.8
Hybrid4',70
Hybrid4',80.2
Hybrid4',89
Hybrid4',106.6
Hybrid4',116.2
Hybrid4',127.4
Hybrid4',137.4
Hybrid4',149.4
Hybrid4',155.8
Hybrid4',165.2
Hybrid4',177.6
Hybrid4',191.8
Hybrid4',0.2
Hybrid4',7.4
Hybrid4',14.2
Hybrid4',23.2
Hybrid4',23.6
Hybrid4',37.6
Hybrid4',50
Hybrid4',67
Hybrid4',79.2
Hybrid4',87.2
Hybrid4',96.2
Hybrid4',106.2
Hybrid4',118.8
Hybrid4',133
Hybrid4',142.8
Hybrid4',150.4
Hybrid4',163.2
Hybrid4',174
Hybrid4',186.4
Hybrid4',202.6
Hybrid4',0.2
Hybrid4',12.4
Hybrid4',22.8
Hybrid4',29.8
Hybrid4',43
Hybrid4',53.8
Hybrid4',62.2
Hybrid4',72.8
Hybrid4',85.6
Hybrid4',96.6
Hybrid4',107.6
Hybrid4',117.6
Hybrid4',126.4
Hybrid4',136.2
Hybrid4',145.4
Hybrid4',156.2
Hybrid4',169
Hybrid4',182.4
Hybrid4',191
Hybrid4',199
Hybrid4',0
Hybrid4',9.2
Hybrid4',15.2
Hybrid4',27.2
Hybrid4',42.2
Hybrid4',49.2
Hybrid4',53.2
Hybrid4',58.6
Hybrid4',68.4
Hybrid4',77.6
Hybrid4',93.4
Hybrid4',105.2
Hybrid4',113.8
Hybrid4',124.4
Hybrid4',135.6
Hybrid4',143.4
Hybrid4',149.6
Hybrid4',156.8
Hybrid4',169.2
Hybrid4',177.2
Hybrid4',0.2
Hybrid4',9.8
Hybrid4',12.4
Hybrid4',14.4
Hybrid4',18.2
Hybrid4',29.8
Hybrid4',39.8
Hybrid4',51.2
Hybrid4',65.2
Hybrid4',78.8
Hybrid4',93.6
Hybrid4',99.8
Hybrid4',112
Hybrid4',119.4
Hybrid4',126
Hybrid4',132.2
Hybrid4',143.4
Hybrid4',158
Hybrid4',169.4
Hybrid4',171.6
Hybrid4',0
Hybrid4',1
Hybrid4',10.4
Hybrid4',16
Hybrid4',20
Hybrid4',25.2
Hybrid4',30.4
Hybrid4',38
Hybrid4',50.8
Hybrid4',54.2
Hybrid4',63.2
Hybrid4',70.4
Hybrid4',78.6
Hybrid4',88.2
Hybrid4',97.4
Hybrid4',106.4
Hybrid4',113.6
Hybrid4',121.6
Hybrid4',128.2
Hybrid4',130.2
Hybrid4',0
Hybrid4',9.2
Hybrid4',14.8
Hybrid4',23.8
Hybrid4',31.8
Hybrid4',38
Hybrid4',44.8
Hybrid4',53
Hybrid4',59.2
Hybrid4',68.2
Hybrid4',77.2
Hybrid4',85
Hybrid4',88.8
Hybrid4',90.4
Hybrid4',94.2
Hybrid4',97.4
Hybrid4',106.6
Hybrid4',116.2
Hybrid4',121.8
Hybrid4',136.6
